platform,product_id,review_id,rating,comment,username,date,source_url,collected_at
tiki,67991602,9728558,5,Sản phẩm mới và Anh shipper hiền lành,Hỷ Và Lần,2021-05-15T10:11:44,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,12011560,5,chất lượng cao,Bùi Thùy,2021-08-25T11:25:35,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,8703068,5,sách rất hay,vu duc nghiem,2021-03-27T13:52:26,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,10870812,5,Nội dung sách hơi lòng vòng,Nguyễn Sơn Lộc,2021-07-04T16:27:35,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,11864454,5,sách khá hay đẹp,Hồ Tuấn Kiệt,2021-08-17T10:24:15,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,9142069,5,Sách hay,Mr Anh,2021-04-17T20:41:13,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,8635649,1,"Tiki giao sách ko mới, nhiều nếp gấp và bị bẩn",Hura End,2021-03-24T18:22:23,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,12520835,4,tốt,Hải Nam,2021-10-10T00:21:44,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,11505213,5,"Ship nhanh, sách đẹp",Pham Ngoc Thuy,2021-07-29T12:27:23,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,9305065,5,Tốt,Hatophia Henry,2021-04-24T21:04:27,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,11917881,5,sản phẩm tốt,thinh phan,2021-08-19T16:13:02,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,11308959,5,Sách hay Giao hàng nhanh,Vũ Thị Linh,2021-07-19T20:59:06,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,11570306,5,Sách đọc rất hay,Nguyễn Xuân Huy,2021-08-02T13:35:51,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,11242990,5,"good, không có gì chê.",Thịnh Ngô,2021-07-17T12:40:35,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,12565282,5,Ok,Đỗ Thị Nga,2021-10-12T10:12:44,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,8276245,5,"nội dung dễ hiểu, mỗi tội không tâm đắc lắm.",Linh Tokyo,2021-03-09T11:05:23,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,11565731,5,giao hàng nhah sp ok,Đỗ Đắc Bờm,2021-08-02T09:22:30,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,8729487,5,Giao hàng nhanh rất chi là ưng với a Shiperrrrrr,Chinh Sắpcóngườiyêu,2021-03-28T18:03:06,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,10936968,5,Chất lượng sách tốt,Hoàng Minh Dũng,2021-07-07T08:15:35,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,9040529,5,tốt,LÊ VĂN DŨNG,2021-04-12T11:35:37,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,8105155,5,Sách rất ổn,Tr Hiền,2021-03-02T12:25:39,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,9231773,5,OK,Dũng Trần Ngọc,2021-04-22T11:12:33,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,11669966,5,Sách nên đọc,Nguyễn Thị Tĩnh,2021-08-08T05:55:28,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,10214366,2,"nghịch,jgyikvdhlnchmk txknhgknh",Men Nguyen,2021-06-06T19:03:27,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
tiki,67991602,11478156,4,giao hàng nhanh ok,Lê Văn Dũng,2021-07-27T20:18:42,https://tiki.vn/sach-dung-lam-viec-cham-chi-hay-lam-viec-thong-minh-p67991602.html?spid=67991603,2026-04-13T13:28:57
